id|person_id|info_type_id|info|note
20|2701137|19|"Diego Pecori alias Diego Dada is graduated in 2006 at the Art High School ""Virgilio"" in Empoli in the section of Photography and Film. Is currently a student at the Faculty of Arts and Humanities of the University of Florence, Bachelor Degree in ""The Arts, music and entertainment"". Between 2005 and 2010 he made several short films, some of which have received awards and great attention from the public on youtube."|Fab
21|31|26|Vázquez, José Rodríguez|
22|31|20|Montpellier, Hérault, France|
23|31|21|1971|
24|56|17|Legendary disk jockey who made his name at WINS (New York) in the 1950s and 60s; a pioneer of progressive radio at WOR-FM (New York) in 1966.|
25|56|17|"Biography in: ""The Scribner Encyclopedia of American Lives"". Volume One, 1981-1985, pages 443-444. New York: Charles Scribner's Sons, 1998."|
26|56|17|Father of 'Peter Altschuler'.|
27|56|17|"In 1963 took his 1010WINS NYC Radio show to the High Schools in the New York City area as part of a ""stay in school"" campaign."|
28|56|28|The Fifth Beatle|
29|56|39|Los Angeles, California, USA (cancer)|
30|56|19|"Murray the K was born Murray Kaufman in New York, New York, on 14 February 1922. After an early career as a song-plugger, he moved into radio and in 1958 joined 1010 WINS. He remained there for seven years, becoming the most popular New York radio DJ. He was an early supporter of singer Bobby Darin, inspired and then 'broke' his hit single, 'Splish-Splash', and made a guest appearance on his ""This is Your Life"" TV tribute in late 1959.  In 1964, he was one of the first Americans to interview The Beatles, firstly by phone, later joining them in their hotel suite. From then on he acted as their ""Mr. Fix-it"", arranging for them to visit all the best clubs and restaurants. He also championed their records and for a while, he dubbed himself ""the fifth Beatle"" and became a trusted friend of the group during their American tours, though not of manager Brian Epstein, who apparently resented his considerable influence.  He left WINS in 1965 and later resurfaced as a presenter on WOR-FM - the first FM rock station.  Married six times, he died of cancer on 21 February 1982, in Los Angeles, California."|Anonymous
31|56|20|New York City, New York, USA|
32|56|26|Kaufman, Murray|
33|56|24|'Jacklyn Zeman' (qv) (14 February 1979 - 1981) (divorced)|
34|56|23|21 February 1982|
35|56|21|14 February 1922|
36|1739590|26|Rodríguez, José Antonio Ortiz|
37|1739590|20|Almería, Andalucía, Spain|
38|1739590|21|19 March 1964|
39|4147862|17|Played bass guitar with the 'Thai Brides' until April 2007.|
40|86|20|Maassluis, Zuid-Holland, Netherlands|
41|86|25|(book) (2002) De zonnewijzer|
42|86|25|(book) (2002) De bril van God|
43|86|25|(book) (2000) Johann Sebastian Bach|
44|86|25|(book) (2000) Een deerne in lokkend postuur|
45|86|25|(book) (2000) De stiefdochters van Stoof|
46|86|25|(book) (1999) De gevaren van joggen|
47|86|25|(book) (1998) De vlieger|
48|86|25|(book) (1997) Wie God verlaat heeft niets te vrezen|
49|86|25|(book) (1996) Het gebergte|
50|86|25|(book) (1996) De nakomer|
51|86|25|(book) (1994) Du holde Kunst|
52|86|25|(book) (1993) Het woeden der gehele wereld|
53|86|25|(book) (1992) Verzamelde verhalen|
54|86|25|(book) (1992) Een havik onder Delft|
55|86|25|(book) (1991) Onder de korenmaat|
56|86|25|(book) (1990) Een dasspeld uit Toela|
57|86|25|(book) (1989) De unster|
58|86|25|(book) (1988) Feest|
59|86|25|(book) (1988) De steile helling|
60|86|25|(book) (1987) Het uur tussen hond en wolf|
61|86|25|(book) (1986) De nagapers|
62|86|25|(book) (1986) De jacobsladder|
63|86|25|(book) (1985) De huismeester|
64|86|25|(book) (1984) Het roer kan nog zesmaal om|
65|86|25|(book) (1984) De ortolaan|
66|86|25|(book) (1983) Het eeuwige moment|
67|86|25|(book) (1983) De kroongetuige|
68|86|25|(book) (1982) De vrouw bestaat niet|
69|86|25|(book) (1981) De zaterdagvliegers|
70|86|25|(book) (1980) De droomkoningin|
71|86|25|(book) (1979) Ongewenste zeereis|
72|86|25|(book) (1979) De aansprekers|
73|86|25|(book) (1978) Een vlucht regenwulpen|
74|86|25|(book) (1978) De stekelbaars|
75|86|25|(book) (1978) De som van misverstanden|
76|86|25|(book) (1978) A Study of a Short Term Behaviour Cycle|
77|86|25|(book) (1977) Mammoet op zondag|
78|86|25|(book) (1977) Laatste zomernacht|
79|86|25|(book) (1976) De kritische afstand|
80|86|25|(book) (1976) Avondwandeling|
81|86|25|(book) (1974) Het vrome volk|
82|86|25|(book) (1973) Ratten|
83|86|25|(book) (1973) Ik had een wapenbroeder|
84|86|25|(book) (1971) Stenen voor een ransuil|
85|86|21|25 November 1944|
86|89|26|Hoen, Franciscus Wilhelmus 't|
87|89|20|The Hague, Zuid-Holland, Netherlands|
88|89|23|23 October 1967|
89|89|39|Hilversum, Noord-Holland, Netherlands|
90|89|21|29 August 1920|
91|1739596|39|Borgerhout, Flanders, Belgium|
92|1739596|20|Borgerhout, Flanders, Belgium|
93|1739596|23|1984|
94|1739596|21|1895|
95|105|25|"Album: ""Voices Carry"" (1985/Epic)"|
96|105|25|"Album: ""Welcome Home"" (1986/Epic)"|
97|105|25|"Album: ""Everything's Different Now"" (1988/Epic)"|
98|105|25|"CD compilation: ""Coming Up Close: A Retrospective"" (1996/Epic)"|
99|105|19|"'Til Tuesday were an excellent and intelligent 1980s New Wave rock quartet from Boston, Massachusetts. The group first got together in 1982. The band members were: Aimee Mann (vocals/bass), Robert Holmes (vocals/guitar), Joey Pesce (keyboards), and Michael Hausman (drums). Their music was distinguished by Mann's beautiful vocals, exceptionally literate lyrics, thoughtful and mature subject matter, and rich, lovely melodies. 'Til Tuesday started out playing around the Boston area and won Boston's WBCN Rock & Roll Rumble battle of the bands contest in 1983. They subsequently signed with the label Epic Records and released their debut album ""Voices Carry"" in 1985. The haunting and poignant titular tune was a substantial hit single; it peaked at #8 on the Billboard pop radio charts. The album also sold well; it reached #19 on the Top 20 album charts. Moreover, the music video for ""Voices Carry"" won the MTV Video Music Award for Best New Artist. Alas, the band's follow-up 1986 album ""Welcome Home"" was less successful; it barely cracked the Top 50 at #49 on the Billboard album charts. The moving song ""What About Love"" did a little better; it went all the way to #26 on the Billboard pop radio charts. Although their third and final album ""Everything's Different Now"" received positive notices from music critics in 1988, it nonetheless was a complete commercial flop. 'Til Tuesday broke up in 1988. Aimee Mann has since gone on to have a hugely successful solo career while Michael Hausman serves as Mann's manager."|woodyanders
100|4147863|28|Tivo|
