id|movie_id|title|imdb_index|kind_id|production_year|phonetic_code|episode_of_id|season_nr|episode_nr|note|md5sum
35211|1669200|Yellowcake operazione urano||1|1978|Y4216|||||8c48378c26e30acdf6a9ab3b73280c8e
34048|1666024|Weda'an Bonapart||1|1985|W3515||||(Egypt: Arabic title)|477a15d2de285344e4ad00d5297381e7
4120|253704|Ein Hauch von Mord||7||H2156|4243|3|1|(West Germany)|3b1608b1735f2fb33d4ae5dbc254aae4
32008|1658918|Triumph des Herzens||3|1986|T6513||||(West Germany)|5db73dd910ccd0124b9376385fa87bb6
48064|1707580|Children of Heaven||1|1999|C4365||||(USA)|350a5cbb6ff5c399b51a12ac6740043e
10442|702203|The Case of Kukotskiy||2|2005|C2123||||(International: English title) (informal title)|dd05f3d015f6d0cfb0c7c95cb689317e
37484|1674219|King of the Joropo||1|1978|K5213||||(International: English title)|3e2b20917e9ef7521aa099efedb2d953
33821|1665361|Story of Adachi Factory: For the Job Development of the Disabled in the Industrial Vocational Aid Center||1|2012|S3613||||(International: English title) (imdb display title)|05e067f0bc1d899ecb23b9cb27680a5c
9060|620172|The Howard Stern Radio Program on Television||2|1994|H6323||||(USA) (working title)|fbdb6c5f9738e9d54368ae7deb869b52
16507|1042451|ABC Primetime||2|1989|A1216||||(USA) (informal short title)|f67eebb8ea6f85adf511d702259af5ff
25863|1634109|Maybe This Time||1|1981|M1323||||(Australia) (informal short title)|bfdf84c7fc032548187e6dc22dce3251
26028|1634429|The Sixth of May||1|2008|S2315||||(UK) (DVD title)|c6f4fbff990499ede5dff9e936f9ea56
25107|1615418|Raideen||2|1975|R35||||(Italy)|51c64b1feba6e9593e425fb6e91ee32f
45074|1699464|Das Ende||1|1979|E53||||(West Germany)|a99683dadc2d565b0f2667445089c6b9
9705|660762|ITV Play of the Week||2|1955|I3141|||||f1cdec1b5b81f3e4d75a5c4047eda1e7
1050|73554|American Horror Story: Asylum||2|2012|A5625||||(USA) (second season title)|e04eb318b6f87ef9ddcb99c2bb405c59
24743|1598994|The Special Unit||7||S1245|24748|11|3||d068de78e577ca62722d1457d91544ba
14714|913971|The Remembered Lullaby!||7||R5163|14723|1|179|(USA)|140b866934f3805afad16612af37272e
47464|1706104|B'Yom Bahir Efshar Lr'ot et Dameshek||1|1984|B5161|||||e24526048db7e76095d10f8b74032175
31208|1655471|The Girl from Nowhere||1|1931|G6416||||(USA) (TV title)|4cb24432ea73b2ea513fb14a42b6ee9d
13493|854715|Tyler Perry's Meet the Browns||2|2009|T4616||||(USA) (complete title)|eafb7d557b2354a0644b87e58e5580ea
39721|1681793|Anything for a Friend||1|1973|A5352||||(USA)|3e4543f07b22d3daedaa65db417b7c58
43065|1692363|Apocalypto||1|2006|A1241||||(Germany)|fa340c59315c1c628d989a18f6b1600b
34629|1667675|Africa strilla||1|1950|A1623||||(Italy)|66574c8151474e42c2da9ab5b04dd02e
22288|1417596|Golden Hill||2|1976|G4354||||(UK) (new title)|40b0b029309fd6e7d2deb3ab57389687
37780|1674950|Aliyuri||1|1989|A46||||(Georgia) (alternative transliteration)|a0e6aa87e415f20b51c56fe74c5abadb
36200|1671269|Red Quay||1|1958|R32||||(literal English title)|73377627f765f3b5cb87101201d828ef
21409|1346359|The Howard Stern Summer Show||2|1990|H6323||||(USA) (promotional title)|0237d570f748961447d1c4879f143623
7842|544074|Brazil's Got Talent||2|2013|B6242||||(Brazil) (working title)|e1346ef54853daabb7905a9a2e5ac430
37475|1674200|La sconfitta di satana||1|1949|S2513||||(Italy)|c474b12f9ed9fcf5eaa2051bcd09b549
37643|1674634|Alien Hunt - Attacco alla Terra||4|2007|A4532||||(Italy) (imdb display title)|37e5fcd81de137488b4fd3b0d5908e68
13241|840347|Goodbye Marienhof - Die ultimative Fan-Box||2|2011|G3156||||(Germany) (DVD box title)|37cb1b4bd124fde0098896d58f747aaa
14830|920181|The Sky and the Earth||2|2004|S2536||||(International: English title) (informal title)|9cd72fcdc342d37e4be6ea662b2de214
15017|942686|Nini - den stille uke||2|2001|N5352||||(Norway) (second season title)|a86e1ca5383579d159a2962f666669f7
31690|1657794|È nata una stella||1|1955|N3523||||(Italy)|df6027a1880a58d713a286949c9b7b59
43342|1693371|Those Crazy Years||1|1971|T2626||||(USA)|9cd9753269d19907a5d1427367b0bb7e
23698|1523936|Underbelly: The Golden Mile||2|2010|U5361||||(Australia) (third season title)|ffa5503dc03e3e6f96f2217ab33bff29
10823|710217|Kew 3D||2|2012|K3||||(UK) (working title)|e7c19c81e85cd0dac4eeb3e48ab26d1f
43863|1694970|Travelling in the North||1|1980|T6145||||(International: English title)|03538250e584759c84e2c3ed0d8589c8
29954|1650148|Beatles No. 1||1|1963|B3425||||(UK) (working title)|2787c12ca0428cf614c153b8cc6c737d
30689|1653084|Ein mutiger Weg||1|2007|M3262||||(Germany)|7e3cef001fe45ca1455af08a03cee565
35478|1669838|The Words of Silence||1|1998|W6321||||(International: English title)|b39f74249fe3501bf2fa28c386f3bc50
7240|498911|Amici di letto||2|2011|A5234||||(Italy) (imdb display title)|2d1c189f3968096f3a50eb6c9c3fcfd4
20644|1280624|Strandpiraten||2|1976|S3653||||(West Germany)|2d22afe6e957208a6d4b8a446a8e2965
7288|502247|Fast Forward Presents Full Frontal||2|1993|F2316||||(Australia) (first season title)|d6051acf80b43345c59f81f1ea5fdaac
13783|871452|Headcase||2|2006|H32||||(UK) (working title)|f5f5094c6d579dc0930f36df1e381ff8
47114|1705221|Ax - Die Erde||1|1999|A2363||||(Germany)|162dd13bb54d1fea35187caa0a3e6558
19230|1202625|Óôï ÐáñÜ 5||2|2005|||||(Greece) (original Greek ISO-8859-7 title)|633ec9b1e94d1e129002775062715b20
11414|730283|Ein langer Weg in die Freiheit||2|2002|L5262||||(Germany)|1c650026b856667c608f6f5e7d10269f
33750|1665116|Bus Action||1|1980|B235|||||23b1730874d9750afa326ca29905f570
29850|1649695|Fisticuffs||1|2005|F2321||||(International: English title) (informal title)|765f3ba4a0cb1f67a3364f35e103c4d0
31102|1654949|13||1|1999|||||(USA) (working title)|de85cd49b968e25f6506372a47f6033c
242|15590|Tailor-made Murder||7||T4653|247|1|5|(International: English title) (imdb display title)|6f1081dda0e054c6fa39c54ae7a4ceb1
11678|752896|Lance et compte 4||2|2002|L5232|||||b43d890fc34cd4da8bc0f8993a22c2c6
3482|220739|Run for Money||2|2008|R5165||||(USA) (working title)|5e5b072c910f0f977657f83e4d934f53
9003|613765|Hot for Words||2|2007|H3163||||(USA) (alternative title)|00f7211343e1d36201fe5a948d08d407
18276|1145219|óÅÚÏÎ ÏÈÏÔÙ||2|1997|||||(Russia) (original Cyrillic KOI8-R title)|3fc637c451f0a7c141b5f59a4c9e386c
9218|630045|Le spie||2|1965|S1||||(Italy) (imdb display title)|e61e01edbf3b15e6786fdfc841bb49ca
37537|1674373|Alice and Martin||1|1998|A4253||||(International: English title) (imdb display title)|878ef04838f2b9fedb8aeffbf794be31
31985|1658892|Keine Zeit zu sterben||1|1991|K5232||||(Germany)|21d3d542323b0f70a4a232014d6c0167
2770|168134|Club Embassy||2|1951|C4151||||(USA) (second season title)|acf3c5c6cc36595574deaa1775351b3a
10523|705444|The Green House||2|1996|G652||||(literal English title)|e40fea5c24d4025d57ac13a335a209fa
22096|1404044|The Recommended Daily Allowance||2|2000|R2534||||(UK) (complete title)|c0ef4cb983eebbbc7d1955979a51dcfb
26213|1635234|100.000 Dollar für einen Colt||1|1966|D4616||||(West Germany)|32dc7a729f3a91224a7c82e986c46202
46783|1704239|The Adventures of Borivoje Surdilovic||1|1980|A3153||||(Europe: English title)|3ae7fef59fae991a1a8123c001618e54
2264|148968|Strange Truth: Fact or Fiction||2|1997|S3652||||(USA) (working title)|7cdfbaa71d10ba24e3d989d79cb58f33
18717|1166484|SM:TV Gold||2|2003|S5312||||(UK) (new title)|907adbbabe8a0009b9aa0ec8df519cda
16019|1012037|Peter der Große||2|1986|P3636||||(West Germany)|3973654b49cbbd78522b7435f6b6bf1a
49042|1710528|Memory of Love||1|1973|M5614||||(West Germany)|2556cc62b39c22d35ccca32262d51a84
40862|1686140|The Here and Now||3|2007|H6535||||(USA) (working title)|74c96cb76c94207d4e8ab2e1f3fe7ca5
28736|1644432|The Happy World of Bunnies||1|1997|H1643||||(USA) (working title)|f01eda0a03ce4964e4255168eeeec32c
18088|1136743|Malmequer||2|2010|M4526||||(Portugal) (working title)|cca908d3a844027d18e25efbf6580f90
47813|1706743|Babewatch: Scharfe Kurven||4|2000|B1326||||(Germany) (TV title)|c5bf8cafb4896414da7cf9b1f001c348
3902|244266|Here Comes Freckles||2|1965|H6252||||(USA) (weekend title)|92ede89c6f6e275b95b995c05d93a40d
41330|1687654|A Pillar of Mist||1|1986|P4615||||(International: English title) (literal title)|0680cad51631023386f691357c4ec2c7
8121|556505|Goal Field Hunter||2|1994|G4143||||(International: English title)|2a8a9e4399ee6beaf30932e8b0b93c21
24854|1605419|Laughing in the Wind||2|2001|L2525||||(International: English title)|b51977d36e89ef760b245a92b11856ee
16094|1014463|Sorelle in affari||2|2011|S6451||||(Italy) (imdb display title)|b50d4f785930676620f2026f6b27a313
16263|1029009|Police Academy: The Animated Series||2|1988|P4235||||(USA) (DVD box title)|4ef03f6d9920e12379c67e132561f5c0
30589|1652691|A Married Man (Who Had Them All!)||4|1978|M6353||||(International: English title) (video box title)|477714cb2734fd41c0aed4b707ab0f33
26710|1637200|28th October 1979, a Sunny Sunday||1|1999|T2316||||(International: English title) (imdb display title)|f10f83cc4b1ad04ce2b342ab69c417ea
46479|1703317|Hirsekorn Butts In||1|1932|H6265||||(USA) (informal English title)|6b0734dd101800eefd8dc37f0f29e373
43456|1693674|Date Wine||1|1999|D35||||(USA)|192a10313d21be67ae4bd896deb163ff
5429|358676|Catherine's Wedding||7||C3652|5428|1|1|(International: English title)|80a38c5e447ca5091bcdfa8533b85eaa
